fcgkj f'k{kk ifj;kstuk] ck¡dk,,,,
fnukad 31-08-2026 rd Inspire Award ds rgr Nk=@Nk=kvksa dk Nominaton ugha djus okys fo|ky;ksa dh lwph,,,,
S.No,AppCode,Udisecode,SchoolName,Block
173,APP510161158308,10232516101,Uchcha Madhaymik Vidyalay Lakrikola,Banka
174,APP510161171245,10232508405,UCHCHA MADHAYMIK VIDYALAY TELIYA,Banka
175,APP510161345062,10232511401,"Uchcha Madhyamik Vidyalay, Dakshin Kateli, Banka",Banka
176,APP510161344657,10230914303,Uhs amjora,Banka
177,APP510161297859,10232512108,UHS DOMUHAN BANKA,Banka
178,APP510161142967,10232508006,Uhs Kajhiya Banka,Banka
179,APP510161324845,10232509304,UHS LAKHNOUDIH BANKA,Banka
180,APP510161296997,10231707809,UHS Shobanpur,Banka
181,APP510161041043,10232519205,UHSBASBERWA,Banka
182,APP510161357985,10232516001,Ums Barisal,Banka
183,APP510161041197,10232507506,Ums Belatikar,Banka
184,APP51016462317,10232506003,Ums Bhadrar Hindi,Banka
185,APP510161102533,10232512101,Ums Domuhan,Banka
186,APP510161030624,10232512401,Ums Kaharabandh,Banka
187,APP510161042284,10232518901,Ums Kajhiyagora,Banka
188,APP510161362106,10232519105,UMS KHAWA,Banka
189,APP510161044078,10232509801,Ums Lakrikola Banka,Banka
190,APP510161340574,10232517412,UMS NIPANIYAN,Banka
191,APP510161288995,10230109205,UMS Panjarpatta,Banka
192,APP51016723441,10230505101,Ums Rajawar,Banka
193,APP510161040166,10232510202,Ums Sadpur,Banka
194,APP510161106225,10232503301,Ums Saijpur,Banka
195,APP51016996066,10232518404,UP GRADED MIDDLE SCHOOL HIRMOTI,Banka
196,APP51016594610,10232502901,URDU.U.M.S BOYS BANKA,Banka
197,APP510161343898,10232518304,UTRAKAMIT MADHYAMIK SCHOOL HASIYA BANKA,Banka
198,APP510161359520,10231001502,VIDYAYAN AWASIYA BAL VIDYALAYA KHUSHAHALPUR,Banka
199,APP510161355387,10232503009,YUG NIRMAN MISSION GAYATRI VIDHYAPITH,Banka
200,APP51016270542,10231001314,A.S.S Project Girls Hs Kharahra,Barahat
201,APP510161040149,10231000613,Buniyadi School Mohanpur,Barahat
202,APP510161028915,10231006305,Dr. Harihar Choudhary High School Barahat,Barahat
203,APP510161046766,10231009501,Girl M S Lakhpura,Barahat
204,APP51016909980,10231003503,Girl M.S. Sabalpur,Barahat
205,APP51016187714,10231004705,High School Babhangama,Barahat
206,APP51016201477,10231001706,J.P.S HS GURUDWAR,Barahat
207,APP510161093675,10231001316,M S Babhangama,Barahat
208,APP510161039773,10231009602,M S Kamalpur,Barahat
209,APP510161027831,10231008202,M. S KOLAHATHA CHAPRA,Barahat
210,APP51016917567,10231000609,M.S Sondiha,Barahat
211,APP51016913057,10231001003,M.S Narayanpur,Barahat
212,APP51016735647,10231005401,M.S SAHARNA,Barahat
213,APP51016726640,10231000406,M.S. Bhurna,Barahat
214,APP51016912534,10231001307,M.S. Kharhara,Barahat
215,APP51016632523,10231000906,M.S. Mahuwa,Barahat
216,APP51016907809,10231004107,Middle School Bhanga Pathra,Barahat
217,APP51016913908,10231004602,Middle School Lakhpura Boy,Barahat
218,APP51016905998,10231000704,R.M.V. Panjwara,Barahat
219,APP51016942903,10231000707,Rajya Samposhit Hs Panjwara,Barahat
220,APP51016885066,10231000207,Rameshwar Bhairo Radhika Hs Pathra,Barahat
221,APP51016909823,10231000617,Sns High School Mohanpur Baraht Banka,Barahat
222,APP510161041968,10231003401,U M S Baratikar,Barahat
223,APP510161110751,10231000709,U M S Charsiya,Barahat
224,APP510161040730,10231002301,U M S Charua Girl,Barahat
225,APP510161100313,10231000107,U M S LILAVARAN (URDU),Barahat
226,APP510161040141,10231009601,U M S Louni,Barahat
227,APP510161039980,10231001002,U M S Makhanpur,Barahat
228,APP510161029098,10231004601,U M S Saruka,Barahat
229,APP510161040451,10231000206,U. M. S. Haripur,Barahat
230,APP510161049177,10231000102,U.M.S AURIYA,Barahat
231,APP51016915192,10231002506,"U.M.S Chilmil,Urdu",Barahat
232,APP510161028272,10231001303,U.M.S Choubedih,Barahat
233,APP510161080452,10231000902,U.M.S Kunouni Khairatikar,Barahat
234,APP51016917459,10231000111,U.M.S Parghari,Barahat
235,APP51016731786,10231000404,U.M.S. Babudih,Barahat
236,APP51016915083,10231003001,U.M.S. Barhouna,Barahat
237,APP51016911461,10231000302,U.M.S. Kaithatikar (Urdu),Barahat
238,APP51016990029,10231000619,U.M.S. Sidhoun,Barahat
239,APP51016909662,10231007402,U.M.S.Dahuki,Barahat
240,APP51016909764,10231002701,U.M.S.Dubrajpur,Barahat
241,APP510161344638,10231004306,U.U.M.S. AURIYA,Barahat
242,APP510161140029,10231007403,Uhs Sabalpur,Barahat
243,APP510161346426,10231005402,UHS SAHARNA,Barahat
244,APP510161027836,10231006802,Ums Balarpur,Barahat
245,APP51016916663,10231002801,Ums Basouni Barahat,Barahat
246,APP510161027985,10231006003,UMS BHOJPURA NEMUA,Barahat
247,APP510161041409,10231007502,Ums Chandidih,Barahat
248,APP510161034214,10231002201,UMS CHANGERI GIRL,Barahat
249,APP510161100266,10231002305,Ums Changeri Mirzapur,Barahat
250,APP510161106799,10231000104,Ums Chihar Girl,Barahat
251,APP510161042012,10231002502,Ums Dafarpur Urdu,Barahat
252,APP510161032125,10231004105,Ums Dholiya Girl,Barahat
253,APP510161027452,10231001601,Ums Govindpur,Barahat
254,APP510161038471,10231008102,Ums Jethor Kakaria,Barahat
255,APP510161038916,10231000612,Ums Kaithpura,Barahat
256,APP51016910166,10231001202,Ums Kharihara Urdu Boy Barahat,Barahat
257,APP510161025057,10231001401,UMS KHIDDI BHANSIYA BITTA,Barahat
258,APP510161100832,10231009101,Ums Lakhnoudih,Barahat
259,APP510161113723,10231007302,Ums Nagrijanukitta,Barahat
260,APP510161093688,10231008302,Ums Yashopathra,Barahat
261,APP510161037708,10231000802,Urdu U M S Labokhar,Barahat
262,APP510161032610,10231001302,Uums Kharhara,Barahat
263,APP510161040091,10230604002,Adwaita Mission High School,Bausi
264,APP51016194724,10230622604,C.N.D. High School Bounsi,Bausi
265,APP510161147814,10230600102,Children Garden Residential School,Bausi
266,APP510161365014,10230608901,GREENWAY CONVENT,Bausi
267,APP510161245492,10230619503,Jawahar Navodaya Vidyalaya Shaktinagar Banka,Bausi
268,APP510161039632,10230608006,Kanya Middle School Bounsi,Bausi
269,APP51016631757,10230622605,L.N.D. Project Girls Higher Sacendary School,Bausi
270,APP51016460705,10230613401,M.S. CHANDAN DEM,Bausi
271,APP51016461602,10230608201,M.S. Guriya,Bausi
272,APP510161035637,10230600902,M.S. Shobha Pathar,Bausi
273,APP51016461115,10230615108,Mahatma Gandhi M.S. Jabra,Bausi
274,APP51016460894,10230604907,R U.H.S Lilavaran,Bausi
275,APP51016461615,10230608005,R.M.S. Bounsi,Bausi
276,APP51016200534,10230619504,Sri Durga Hs Shakti Nagar,Bausi
277,APP51016270479,10230622303,Surat Chand Choudhary Hs Jabra,Bausi
278,APP510161288668,10230606209,U H S KAIRI,Bausi
279,APP510161311602,10230614201,U M S LILAVARAN,Bausi
280,APP510161341287,10230602802,U M S SINGESHWARI,Bausi
281,APP510161027394,10230602704,U. H. S. Bishanpur,Bausi
282,APP510161119149,10230601201,U. M. S. Saruwa,Bausi
283,APP51016991596,10230607201,U.H.S Babhangama,Bausi
284,APP51016462196,10230625502,U.H.S Gokula,Bausi
285,APP510161345047,10230615502,U.H.S. Jhapaniya,Bausi
286,APP51016987912,10230608003,U.H.S.Jhapaniyan,Bausi
287,APP51016461608,10230604601,U.H.S.Madari,Bausi
288,APP51016461092,10230618801,U.M.S CHILKARA,Bausi
289,APP51016713959,10230600903,U.M.S Sikandarpur,Bausi
290,APP51016461988,10230615106,U.M.S Angaru,Bausi
291,APP51016461614,10230614001,U.M.S BABHNI BAGICHA,Bausi
292,APP51016460866,10230621201,U.M.S Bagdumba,Bausi
293,APP51016461104,10230626701,U.M.S Barmasiya,Bausi
294,APP51016461158,10230604913,U.M.S Bhandarichak,Bausi
295,APP51016910514,10230602501,U.M.S BHURKURIYA,Bausi
296,APP51016462193,10230624201,U.M.S Brahampur,Bausi
297,APP51016461609,10230609101,U.M.S CHAKAINEEMA,Bausi
298,APP51016460893,10230615501,U.M.S Dahua Urdu,Bausi
299,APP51016983729,10230604801,U.M.S Durgapur,Bausi
300,APP510161040430,10230626704,U.M.s Faga,Bausi
301,APP51016460884,10230613101,U.M.S Hardiya Kurawa,Bausi
302,APP51016461156,10230621203,U.M.S Maharana,Bausi
303,APP51016460903,10230602601,U.M.S Sikchuliya,Bausi
304,APP51016461987,10230607501,U.M.S Simra,Bausi
305,APP51016461624,10230601206,U.M.S. Aamgachi,Bausi
306,APP51016461989,10230608002,U.M.S. Bhikha,Bausi
307,APP51016461618,10230626707,U.M.S. Chaitawaran,Bausi
308,APP51016460706,10230610201,U.M.S. Ithari (Girl),Bausi
309,APP51016461607,10230618804,U.M.S. JHALAR,Bausi
310,APP51016461621,10230610104,U.M.S. Kalhajor,Bausi
311,APP51016461992,10230608102,U.M.S. Pandatola,Bausi
